NAME,NORTH,EAST,ELEVATION,TIMESTAMP,LATITUDE,LONGITUDE,TIMESTEP_s_da,DISTANCE_m_da,VELOCITY_kmh_da,VELOCITY_[km/h]_da_smoothed,TIMESTEP_s_da_smoothed,ACCELERATION_ms2_p,ACCELERATION_[m/s^2]_p_smoothed,VELOCITY_kmh_p,EMISSION_[g/s]_p 
10363,185940.0674,160406.0657,54.737742,2019-09-30 05:31:37,50.98360776292784,4.516945161991878,1.0285541599707184,17.706164507372826,61.972616228937156,61.92772248339277,1.0292997977381777,-0.09113543579361254,-0.08825848496816951,61.76468340431796,2.907222318475024
10364,185952.5255,160417.7537,54.703095,2019-09-30 05:31:38,50.98371953957657,4.5171119643873485,1.0256987439736467,17.560996403556306,61.63562880840088,61.601163411010404,1.0262726148692027,-0.1087632374416522,-0.09473818385101972,61.42673956127211,2.81862472031127
10365,185964.797,160429.276,54.681538,2019-09-30 05:31:39,50.98382964160718,4.517276402529419,1.0231288695762821,17.40300201593796,61.2345219848237,61.25173059466836,1.0228414225871698,-0.10987371504823316,-0.10332687157895815,61.06200006545576,2.7911993802235213
10366,185976.6005,160440.8688,54.617556,2019-09-30 05:31:40,50.98393553521836,4.517441832018072,1.020815982618654,17.249035468111714,60.830285519147836,60.871763457684615,1.0201203999678596,-0.10402683531764673,-0.11218009147157626,60.66609626465357,2.7878466586903916
10367,185989.03,160452.083,54.54252,2019-09-30 05:31:41,50.98404706263988,4.517601888598547,1.0187343843567886,17.105790671386035,60.448383172882515,60.46010930504883,1.018536802609573,-0.10586946381848897,-0.11794200884769304,60.2441170049275,2.7542446192049894
10368,186001.8678,160462.9096,54.371719,2019-09-30 05:31:42,50.98416226712377,4.517756437871362,1.0168609459211098,16.964762836773865,60.06046987778022,60.027886107074366,1.0174129087845452,-0.11618293904258856,-0.1218896107903929,59.80495438686031,2.6887828371392275
10369,186014.8063,160473.5287,54.358685,2019-09-30 05:31:43,50.98427838036945,4.517908035793596,1.0151748513289989,16.816797693683743,59.63551167368454,59.58173267262353,1.016091157165667,-0.13409838545437225,-0.12379085142813932,59.35580329715869,2.5960362365533616
10370,186027.507,160484.3508,54.180762,2019-09-30 05:31:44,50.98439235211538,4.518062518552825,1.0136573661960988,16.653770520025653,59.14579804917427,59.12939427610523,1.0139385766770856,-0.1296801487416314,-0.12354014267950195,58.90431151716253,2.5845429757218077
10371,186040.3926,160494.9663,54.045191,2019-09-30 05:31:45,50.98450798949884,4.5182140651863305,1.012291629576489,16.49835495771854,58.67289238836772,58.67883970758685,1.0121890300449723,-0.12038838948012542,-0.11871446995808756,58.46283468809211,2.590956580343162
10372,186053.1293,160505.4393,53.931519,2019-09-30 05:31:46,50.9846222907953,4.518363578919913,1.01106246661884,16.35518051385028,58.234433374587574,58.246544016533576,1.0108522461546903,-0.10599547954219805,-0.10714344548788375,58.051792615213955,2.6170591864423183
10373,186065.5997,160515.8651,53.938664,2019-09-30 05:31:47,50.98473419895381,4.518512413517354,1.009956219956956,16.229109784366567,57.848839453862354,57.85684146865603,1.009816535791559,-0.0852372417411741,-0.08755333283651032,57.697832226753704,2.6688553429466992
10374,186077.802,160526.1845,53.849792,2019-09-30 05:31:48,50.984843698876126,4.518659725822512,1.0089605979612606,16.126296561783015,57.53908303230676,57.53868918088216,1.008967504280722,-0.059122644431465594,-0.06091404330778891,57.428146335738255,2.7446022196166684
